batch,time
1587,4333
1588,3708
1589,4000
1590,4041
1591,4041
1592,3750
1593,3916
1594,3875
1595,4583
1596,3959
1597,4000
1598,3792
1599,3834
1600,3708
1601,3833
1602,4000
1603,4375
1604,4000
1605,3875
1606,3875
1607,3875
1608,3708
1609,4041
1610,4084
1611,3958
1612,4333
1613,3750
1614,3792
1615,3708
1616,3708
1617,3750
1618,3709
1619,3792
1620,4375
1621,3750
1622,3750
1623,3959
1624,3708
1625,4500
1626,4250
1627,4167
1628,4542
1629,3750
1630,3709
1631,3875
1632,3750
1633,3792
1634,3958
1635,3709
1636,4333
1637,3834
1638,3750
1639,3709
1640,3958
1641,3875
1642,3667
1643,3916
1644,4500
1645,4333
1646,4292
1647,4333
1648,4458
1649,3708
1650,3750
1651,4083
1652,3833
1653,5042
1654,3917
1655,3917
1656,4084
1657,3708
1658,3792
1659,4000
1660,3666
1661,4459
1662,4833
1663,4125
1664,4000
1665,3709
1666,3916
1667,3792
1668,3958
1669,4959
1670,4041
1671,3875
1672,4208
1673,3708
1674,3750
1675,3792
1676,3709
1677,4625
1678,3667
1679,3959
1680,3833
1681,4125
1682,3750
1683,3750
1684,3750
1685,4667
1686,3750
1687,3750
1688,3875
1689,4125
1690,4334
1691,4417
1692,4042
1693,3833
1694,4625
1695,3958
1696,4625
1697,3750
1698,3917
1699,4292
1700,3834
1701,3917
1702,5292
1703,4333
1704,4500
1705,4209
1706,3959
1707,4500
1708,4709
1709,4667
1710,5209
1711,4208
1712,4375
1713,3667
1714,4042
1715,3833
1716,3833
1717,3709
1718,4333
1719,3750
1720,3834
1721,3792
1722,3750
1723,3792
1724,3708
1725,3875
1726,4792
1727,4042
1728,4209
1729,3792
1730,3708
1731,4417
1732,3792
1733,3792
1734,3708
1735,4541
1736,4083
1737,3875
1738,3750
1739,3958
1740,3791
1741,4292
1742,4208
1743,4959
1744,4000
1745,4667
1746,4375
1747,4500
1748,4458
1749,4125
1750,3875
1751,4666
1752,3750
1753,3958
1754,3958
1755,3917
1756,3709
1757,3750
1758,3917
1759,4292
1760,4041
1761,3750
1762,3667
1763,3708
1764,3958
1765,4000
1766,3666
1767,4459
1768,3667
1769,3875
1770,4250
1771,4333
1772,3708
1773,4083
1774,3750
1775,3708
1776,4375
1777,3792
1778,3708
1779,4041
1780,3666
1781,3667
1782,4000
1783,4292
1784,4584
1785,4042
1786,3792
1787,3708
1788,4166
1789,3666
1790,3791
1791,3708
1792,4459
1793,3875
1794,4042
1795,3708
1796,3792
1797,3958
1798,3709
1799,3666
1800,4333
1801,3709
1802,3958
1803,3750
1804,3875
1805,3792
1806,3917
1807,3708
1808,4500
1809,3750
1810,4083
1811,3833
1812,3875
1813,3917
1814,3709
1815,3750
1816,4250
1817,4250
1818,3709
1819,3750
1820,4000
1821,3709
1822,3750
1823,3709
1824,3958
1825,4458
1826,3709
1827,4375
1828,3750
1829,3709
1830,3708
1831,3875
1832,3959
1833,4500
1834,3917
1835,3750
1836,3709
1837,3708
1838,3709
1839,3708
1840,3708
1841,4500
1842,3958
1843,4125
1844,3708
1845,3833
1846,3792
1847,3709
1848,3708
1849,4417
1850,3792
1851,3834
1852,3708
1853,3792
1854,3709
1855,3792
1856,3667
1857,4250
1858,4000
1859,3875
1860,3834
1861,3959
1862,3750
1863,3750
1864,4000
1865,3708
1866,4584
1867,4791
1868,3958
1869,3708
1870,3750
1871,3708
1872,3750
1873,3709
1874,4583
1875,3916
1876,3750
1877,3958
1878,3708
1879,3792
1880,3750
1881,3750
1882,4584
1883,3750
1884,3708
1885,3709
1886,3750
1887,3708
1888,3750
1889,3708
1890,4333
1891,3750
1892,3750
1893,3709
1894,3958
1895,3791
1896,3708
1897,4000
1898,4375
1899,4000
1900,3708
1901,3708
1902,3959
1903,3833
1904,3750
1905,3750
1906,3917
1907,4334
1908,3750
1909,3750
1910,3958
1911,3834
1912,3750
1913,3792
1914,3750
1915,4500
1916,3750
1917,3834
1918,3750
1919,3709
1920,3708
1921,3750
1922,3666
1923,4375
1924,3750
1925,3709
1926,3708
1927,3750
1928,3750
1929,3750
1930,4000
1931,4375
1932,3709
1933,3833
1934,3709
1935,3708
1936,4000
1937,3750
1938,3750
1939,4250
1940,3875
1941,3833
1942,3917
1943,3875
1944,3750
1945,3750
1946,3708
1947,3708
1948,4208
1949,3750
1950,3709
1951,3958
1952,3750
1953,3708
1954,3750
1955,3750
1956,4375
1957,3709
1958,3750
1959,3875
1960,3708
1961,3708
1962,3709
1963,3708
1964,4500
1965,3750
1966,4250
1967,3667
1968,3709
1969,3708
1970,3709
1971,3750
1972,4541
1973,3750
1974,3709
1975,4000
1976,4000
1977,3750
1978,3750
1979,3667
1980,4333
1981,3833
1982,3958
1983,4167
1984,3834
1985,3958
1986,4500
1987,3750
1988,4250
1989,4542
1990,3875
1991,3709
1992,3667
1993,3750
1994,3917
1995,4000
1996,3709
1997,4542
1998,3709
1999,3750
2000,3792
2001,3792
2002,4000
2003,3750
2004,3708
2005,4625
2006,3750
2007,3958
2008,3750
2009,4167
2010,4041
2011,3708
2012,3709
2013,4458
2014,3791
2015,3750
2016,3750
2017,3750
2018,3834
2019,3750
2020,3708
2021,4792
2022,3708
2023,3708
2024,3875
2025,3750
2026,3833
2027,3750
2028,3750
2029,4292
2030,3833
2031,3750
2032,3708
2033,3709
2034,3791
2035,3750
2036,3792
2037,3750
2038,4333
2039,3958
2040,3709
2041,3709
2042,3708
2043,3750
2044,3750
2045,3750
2046,4250
2047,4375
2048,3791
2049,3708
2050,3709
2051,3750
2052,3708
2053,3708
2054,4250
2055,3917
2056,4125
2057,3708
2058,3709
2059,3708
2060,3750
2061,3708
2062,4417
2063,3791
2064,3750
2065,3750
2066,3917
2067,3667
2068,3708
2069,3750
2070,4291
2071,3917
2072,3917
2073,3750
2074,3709
2075,3833
2076,3916
2077,3833
2078,3916
2079,4416
2080,3708
2081,3709
2082,3958
2083,3709
2084,3708
2085,3709
2086,3791
2087,4375
2088,3750
2089,3709
2090,3708
2091,4167
2092,3750
2093,4042
2094,3834
2095,4666
2096,3875
2097,3833
2098,4083
2099,4042
2100,3959
2101,3958
2102,3708
2103,4416
2104,4250
2105,3708
2106,3708
2107,3750
2108,3833
2109,3708
2110,3959
2111,4292
2112,3750
2113,3834
2114,3750
2115,3959
2116,3792
2117,3791
2118,3750
2119,3708
2120,4292
2121,3750
2122,3709
2123,3750
2124,3791
2125,3666
2126,4041
2127,3709
2128,4250
2129,3916
2130,4041
2131,3750
2132,3917
2133,3833
2134,3792
2135,4083
2136,4625
2137,3792
2138,3791
2139,3708
2140,3792
2141,3750
2142,3750
2143,4000
2144,4416
2145,4084
2146,3708
2147,4042
2148,3750
2149,3959
2150,3708
2151,3875
2152,4750
2153,3625
2154,3709
2155,3792
2156,3958
2157,3750
2158,3875
2159,3709
2160,3833
2161,4667
2162,3708
2163,3791
2164,3750
2165,4000
2166,3709
2167,3750
2168,3750
2169,4583
2170,3875
2171,3750
2172,3708
2173,3750
2174,3750
2175,3833
2176,3750
2177,4209
2178,3750
2179,4083
2180,4208
2181,4041
2182,3916
2183,3833
2184,4333
2185,4625
2186,3750
2187,3709
2188,3791
2189,4417
2190,3750
2191,3791
2192,3958
2193,4417
2194,3792
2195,3750
2196,3709
2197,3708
2198,3750
2199,3917
2200,3750
2201,4083
2202,3917
2203,3792
2204,4208
2205,4125
2206,3834
2207,3875
2208,3708
2209,3750
2210,4666
2211,3667
2212,3750
2213,3958
2214,3750
2215,3875
2216,3834
2217,3875
2218,4917
2219,3917
2220,4375
2221,4291
2222,3916
2223,4708
2224,3750
2225,3791
2226,4458
2227,3709
2228,3792
2229,3875
2230,3875
2231,3709
2232,3875
2233,3791
2234,4416
2235,3709
2236,4000
2237,3833
2238,3875
2239,3792
2240,3833
2241,4208
2242,4666
2243,4250
2244,3750
2245,4042
2246,3750
2247,3708
2248,3750
2249,3667
2250,3750
2251,4333
2252,3875
2253,3792
2254,3791
2255,3750
2256,3708
2257,3708
2258,3709
2259,4292
2260,4166
2261,3834
2262,3833
2263,4125
2264,4167
2265,4000
2266,3750
2267,4291
2268,3875
2269,3875
2270,3875
2271,4084
2272,3708
2273,3916
2274,3708
2275,4542
2276,3709
2277,4166
2278,3708
2279,3750
2280,3750
2281,4166
2282,3667
2283,4334
2284,3750
2285,3709
2286,3917
2287,3708
2288,3709
2289,3791
2290,3750
2291,3708
2292,4291
2293,3791
2294,3792
2295,3709
2296,3708
2297,3792
2298,3708
2299,3750
2300,4375
2301,4125
2302,3958
2303,3709
2304,3833
2305,3708
2306,3959
2307,3792
2308,4417
2309,3750
2310,3792
2311,3667
2312,3708
2313,3875
2314,3709
2315,3791
2316,4625
2317,3917
2318,3833
2319,3709
2320,3750
2321,3709
2322,3750
2323,3750
2324,4500
2325,3875
2326,3791
2327,4166
2328,4083
2329,3875
2330,3750
2331,3750
2332,3750
2333,4500
2334,3750
2335,3791
2336,4208
2337,3750
2338,3792
2339,4000
2340,3708
2341,4292
2342,3709
2343,3833
2344,3792
2345,3792
2346,3708
2347,3834
2348,3875
2349,4583
2350,4000
2351,4042
2352,3833
2353,4250
2354,4500
2355,4708
2356,4333
2357,4750
2358,3791
2359,3792
2360,3708
2361,3708
2362,3750
2363,3667
2364,3750
2365,4583
2366,3792
2367,3709
2368,3709
2369,3708
2370,3709
2371,3750
2372,3709
2373,3708
2374,4375
2375,3750
2376,4166
2377,3709
2378,3708
2379,3708
2380,3750
2381,4250
2382,4834
2383,3750
2384,4250
2385,3875
2386,3792
2387,3958
2388,3833
2389,3917
2390,4416
2391,3959
2392,3833
2393,3750
2394,3708
2395,3833
2396,3709
2397,3708
2398,4209
2399,3917
2400,3708
2401,3709
2402,3750
2403,3750
2404,3750
2405,3791
2406,4458
2407,4250
2408,3917
2409,4167
2410,4125
2411,3834
2412,4292
2413,3917
2414,4292
2415,4084
2416,4000
2417,3833
2418,3875
2419,4166
2420,3917
2421,4042
2422,3833
2423,4625
2424,3958
2425,3750
2426,4000
2427,3833
2428,3709
2429,3917
2430,3792
2431,4750
2432,3834
2433,3792
2434,3959
2435,3750
2436,3750
2437,3750
2438,3833
2439,4584
2440,4042
2441,3750
2442,3750
2443,3750
2444,3708
2445,3750
2446,3750
2447,4417
2448,3709
2449,3708
2450,3708
2451,3709
2452,3708
2453,3750
2454,3667
2455,4250
2456,4375
2457,3750
2458,3916
2459,3708
2460,3792
2461,4083
2462,4250
2463,3709
2464,4458
2465,3750
2466,3708
2467,4000
2468,3708
2469,4042
2470,3834
2471,3750
2472,4417
2473,4000
2474,3917
2475,4500
2476,4000
2477,4000
2478,3875
2479,3708
2480,4583
2481,3875
2482,4000
2483,3750
2484,3750
2485,3958
2486,3709
2487,4125
2488,4375
2489,3750
2490,3750
2491,3709
2492,3750
2493,3708
2494,3750
2495,3750
